Nombre;id del curso;URL_lMS;;;;;;;;;;;;;;;;;;;;;
Logística Interna: Almacenes y Transporte Interno;course-v1:ISILGO+188_LIAT+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+188_LIAT+2023/course/;;;;;;;;;;;;;;;;;;;;;
Marketing Sostenible;course-v1:ISILGO+189_MSE+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+189_MSE+2023/course/;;;;;;;;;;;;;;;;;;;;;
Inteligencia emocional;course-v1:ISILGO+18_IE+2021;https://manager.isilgo.com/courses/course-v1:ISILGO+18_IE+2021/course/;;;;;;;;;;;;;;;;;;;;;
Reingeniería de Procesos;course-v1:ISILGO+190_MPO+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+190_MPO+2023/course/;;;;;;;;;;;;;;;;;;;;;
Motivación y Coaching de Equipos de Ventas;course-v1:ISILGO+191_MCEV+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+191_MCEV+2023/course/;;;;;;;;;;;;;;;;;;;;;
Organización de Recursos en un Almacén;course-v1:ISILGO+192_ORA+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+192_ORA+2023/course/;;;;;;;;;;;;;;;;;;;;;
Presupuestos Comerciales;course-v1:ISILGO+193_PCE+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+193_PCE+2023/course/;;;;;;;;;;;;;;;;;;;;;
Proceso de Calidad en la Cadena de Abastecimiento;course-v1:ISILGO+194_PCCA+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+194_PCCA+2023/course/;;;;;;;;;;;;;;;;;;;;;
Seguridad en la Cadena de Abastecimiento;course-v1:ISILGO+195_SCA+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+195_SCA+2023/course/;;;;;;;;;;;;;;;;;;;;;
Selección y Capacitación de la Fuerza de Ventas;course-v1:ISILGO+196_SCEC+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+196_SCEC+2023/course/;;;;;;;;;;;;;;;;;;;;;
Sistemas de Planificación y Proceso de Manufactura;course-v1:ISILGO+197_SPPM+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+197_SPPM+2023/course/;;;;;;;;;;;;;;;;;;;;;
Supervisión y Evaluación de Equipos Comerciales;course-v1:ISILGO+198_SEEC+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+198_SEEC+2023/course/;;;;;;;;;;;;;;;;;;;;;
Técnicas de Captación de Clientes;course-v1:ISILGO+199_TCC+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+199_TCC+2023/course/;;;;;;;;;;;;;;;;;;;;;
Nutrición y vida saludable;course-v1:ISILGO+19_NVS+2021;https://manager.isilgo.com/courses/course-v1:ISILGO+19_NVS+2021/course/;;;;;;;;;;;;;;;;;;;;;
Aplicaciones para Iphone;course-v1:ISILGO+200_AMI+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+200_AMI+2023/course/;;;;;;;;;;;;;;;;;;;;;
